,,,,,
,,,,,
,,,,,
ONE GALLON PRODUCTION,,,,,
PLANT NAME,PRODUCTION DATE,QUANTITY,SIZE,CUTTINGS / SEED,NOTES
Salvia apiana var. compacta,,400,1 gallon,,
Silene uniflora 'Druett's Variegated',,500,1 gallon,,
Dierama 'Slieve Donard Hybrids',,80,1 gallon,,
Salvia mellifera 'Jade Carpet',,250,1 gallon,,
Lavandula canariensis,,450,1 gallon,,
Salvia corrugata,,50,1 gallon,,
Bergenia cordifolia 'Tubby Andrews',,350,1 gallon,,
Echium candicans,,450,1 gallon,,
Erigeron glaucus 'Compacta',,550,1 gallon,,
Nepeta 'Chartreuse on the Loose',,250,1 gallon,,
Sisyrinchium bellum 'Rocky Pt.',,650,1 gallon,,
Teucrium chamaedrys,,400,1 gallon,,
Ceanothus thyrs. var. gris. 'Yankee Point',1/5/2026,500,1 gallon,,
Westringia 'Mia's Wonder',1/5/2026,400,1 gallon,,
Anisodontea 'Elegant Lady',1/12/2026,560,1 gallon,,
Armeria alliacea,1/12/2026,220,1 gallon,,
Campanula posch. 'Blue Waterfall' (Patented),1/12/2026,500,1 gallon,,
Chondropetalum tectorum,1/12/2026,800,1 gallon,,
Eriogonum grande var. rubescens,1/12/2026,750,1 gallon,,
Fragaria chiloensis 'Chaval',1/12/2026,350,1 gallon,,
Halimiocistus wintonensis 'Merrist Wood Cream',1/12/2026,280,1 gallon,,
Melaleuca nesophylla,1/12/2026,250,1 gallon,,
Salvia spathacea,1/12/2026,400,1 gallon,,
Viola 'Etain',1/12/2026,500,1 gallon,,
Arctostaphylos 'Pacific Mist',1/19/2026,300,1 gallon,,
Arctostaphylos manzanita 'Sebastopol White',1/19/2026,220,1 gallon,,
Arctostaphylos manzanita 'St. Helena',1/19/2026,400,1 gallon,,
Echium wildprettii,1/19/2026,300,1 gallon,,
Festuca rubra 'Patrick's Point',1/19/2026,200,1 gallon,,
Lavandula stoechas 'Double Anouk',1/19/2026,200,1 gallon,,
Lavandula x intermedia 'Provence',1/19/2026,400,1 gallon,,
Lithodora diffusa 'Grace Ward',1/19/2026,500,1 gallon,,
Pittosporum tenuifolium 'Marjorie Channon',1/19/2026,500,1 gallon,,
Rhamnus californica 'Leatherleaf',1/19/2026,300,1 gallon,,
Rhus integrifolia,1/19/2026,760,1 gallon,,
Salvia apiana,1/19/2026,300,1 gallon,,
Salvia greggii 'Rose Bicolor',1/19/2026,400,1 gallon,,
Arctostaphylos 'Emerald Carpet',1/26/2026,400,1 gallon,,
Armeria pseud. 'Dreameria™ Dream Clouds',1/26/2026,450,1 gallon,,
Artemisia californica 'Montara',1/26/2026,250,1 gallon,,
Ceanothus 'Autumnal Blue',1/26/2026,200,1 gallon,,
Ceanothus thyrsiflorus var. griseus,1/26/2026,500,1 gallon,,
Epilobium 'Bowman's #1',1/26/2026,200,1 gallon,,
Erodium chrysanthum,1/26/2026,400,1 gallon,,
Lavandula x allardii 'Sweet Petite',1/26/2026,330,1 gallon,,
Lepechinia fragrans 'El Tigre',1/26/2026,500,1 gallon,,
Nepeta racemosa 'Walker's Low',1/26/2026,200,1 gallon,,
Nepeta x faassenii 'Blue Wonder',1/26/2026,200,1 gallon,,
Pelargonium 'Oldbury Duet',1/26/2026,80,1 gallon,,
Penstemon 'Firebird',1/26/2026,500,1 gallon,,
Rosmarinus officinalis 'Boule',1/26/2026,250,1 gallon,,
Salvia 'Bee's Bliss',1/26/2026,200,1 gallon,,
Salvia 'Karla',1/26/2026,500,1 gallon,,
Salvia greggii 'Royal Bumble',1/26/2026,450,1 gallon,,
Salvia leucantha 'Santa Barbara' (Patented),1/26/2026,140,1 gallon,,
Salvia microphylla 'Syracuse',1/26/2026,220,1 gallon,,
Sphaeralcea 'Newleaze Coral',1/26/2026,400,1 gallon,,
Achillea 'Little Moonshine' (Patented),2/2/2026,168,1 gallon,,
Achillea 'Paprika',2/2/2026,500,1 gallon,,
Baccharis pilularis 'Bodega Dunes',2/2/2026,150,1 gallon,,
Baccharis pilularis 'San Bruno Lady',2/2/2026,150,1 gallon,,
Erigeron karvinskianus,2/2/2026,400,1 gallon,,
Euphorbia rigida,2/2/2026,350,1 gallon,,
Euphorbia sahara 'Tiny Treasure',2/2/2026,70,1 gallon,,
Hebe pimeleoides 'Quicksilver' (Patented),2/2/2026,170,1 gallon,,
Helianthemum 'Belgravia Rose',2/2/2026,400,1 gallon,,
Lomandra 'Arctic Frost' (PPFA),2/2/2026,600,1 gallon,,
Olea Fruitless Dwarf Olive,2/2/2026,200,1 gallon,,
Pelargonium sidoides,2/2/2026,80,1 gallon,,
Phlomis fruticosa,2/2/2026,300,1 gallon,,
Salvia leucantha 'Santa Barbara' (Patented),2/2/2026,300,1 gallon,,
Salvia leucantha 'White Mischief',2/2/2026,300,1 gallon,,
Salvia x 'Savannah Blue',2/2/2026,300,1 gallon,,
Senecio palmeri,2/2/2026,500,1 gallon,,
Teucrium chamaedrys 'Alba',2/2/2026,350,1 gallon,,
Achillea millefolium 'Island Pink',2/9/2026,500,1 gallon,,
Agapanthus 'Twister',2/9/2026,300,1 gallon,,
Calamagrostis nutkaensis x foliosa 'Little Nootka',2/9/2026,450,1 gallon,,
Encelia californica 'El Dorado',2/9/2026,400,1 gallon,,
Erigeron karv. 'Spindrift' (Patented),2/9/2026,400,1 gallon,,
Eriogonum crocatum,2/9/2026,400,1 gallon,,
Halimium lasianthum 'Sandling',2/9/2026,100,1 gallon,,
Hibiscus trionium,2/9/2026,100,1 gallon,,
Hunnemannia fumarifolia 'Sunlite',2/9/2026,650,1 gallon,,
Leymus condensatus ‘Canyon Prince’,2/9/2026,700,1 gallon,,
Lupinus albifrons,2/9/2026,400,1 gallon,,
Mimulus 'Alexandra',2/9/2026,200,1 gallon,,
Mimulus 'Burst Berry' (Patented),2/9/2026,80,1 gallon,,
Mimulus aurantiacus 'Mattole Point',2/9/2026,400,1 gallon,,
Pelargonium cordifolium,2/9/2026,200,1 gallon,,
Phormium 'Black Adder',2/9/2026,200,1 gallon,,
Silene uniflora 'Druett's Variegated',2/9/2026,500,1 gallon,,
Sisyrinchium bellum 'Dwarf',2/9/2026,300,1 gallon,,
Sphaeralcea 'Dark Pink',2/9/2026,80,1 gallon,,
Verbena bonariensis 'Lollipop',2/9/2026,500,1 gallon,,
Verbena lilacina 'De La Mina',2/9/2026,500,1 gallon,,
Achillea millefolium 'Apple Blossom',2/16/2026,400,1 gallon,,
Achillea millefolium Milly Rock™  'Red',2/16/2026,400,1 gallon,,
Alstroemeria 'Inca Apricot',2/16/2026,200,1 gallon,,
Alstroemeria 'Inca Candy'®,2/16/2026,150,1 gallon,,
Alstroemeria 'Inca Husky',2/16/2026,200,1 gallon,,
Alstroemeria 'Inca Lucky' (Patented),2/16/2026,200,1 gallon,,
Alstroemeria 'Inca Pepper',2/16/2026,250,1 gallon,,
Alstroemeria 'Inca Tirol'®,2/16/2026,200,1 gallon,,
Alyogyne 'Ruth Bancroft',2/16/2026,300,1 gallon,,
Echium 'San Bruno Pink',2/16/2026,130,1 gallon,,
Iris 'Canyon Snow',2/16/2026,500,1 gallon,,
Iris douglasiana,2/16/2026,500,1 gallon,,
Lomandra 'Lime Tough' (Patented),2/16/2026,600,1 gallon,,
Lyonothamnus floribundus ssp. asplenifolius,2/16/2026,300,1 gallon,,
Ribes sanguineum v. glutinosum 'Heart's Delight',2/16/2026,50,1 gallon,,
Rosmarinus officinalis 'Carollina',2/16/2026,120,1 gallon,,
Salvia greggii 'Amethyst Lips',2/16/2026,280,1 gallon,,
Sesleria autumnalis 'Campo Verde',2/16/2026,500,1 gallon,,
Solidago velutina ssp. Californica,2/16/2026,250,1 gallon,,
Trichostema lanatum,2/16/2026,150,1 gallon,,
Abelia x grand. 'Kaleidoscope' (Patented),2/23/2026,500,1 gallon,,
Acacia covenyi,2/23/2026,80,1 gallon,,
Achillea millefolium 'Apple Blossom',2/23/2026,400,1 gallon,,
