,,,,,
,,,,,
,,,,,
FOUR INCH PRODUCTION,,,,,
PLANT NAME,PRODUCTION DATE,QUANTITY,SIZE,CUTTINGS / SEED,NOTES
Sempervivum 'Red Beauty',,574,"4"" 16 Tray",,
Ajuga reptans 'Catlin's Giant',1/12/2026,496,"4"" 16 Tray",,
Ajuga reptans 'Chocolate Chips',1/12/2026,538,"4"" 16 Tray",,
Armeria pseud. 'Dreameria™ Dream Clouds',1/12/2026,490,"4"" 16 Tray",,
Campanula x 'Birch Hybrid',1/12/2026,460,"4"" 16 Tray",,
Convolvulus sabatius,1/12/2026,480,"4"" 16 Tray",,
Dymondia margaretae,1/12/2026,1065,"4"" 16 Tray",,
Erysimum 'Bowles Mauve',1/12/2026,830,"4"" 16 Tray",,
Heuchera 'Old La Rochette',1/12/2026,360,"4"" 16 Tray",,
Heuchera 'Santa Ana Cardinal',1/12/2026,358,"4"" 16 Tray",,
Heuchera micrantha 'Martha Roderick',1/12/2026,288,"4"" 16 Tray",,
Silene uniflora 'Druett's Variegated',1/12/2026,570,"4"" 16 Tray",,
Ajuga 'Black Scallop' (Patented),1/19/2026,356,"4"" 16 Tray",,
Convolvulus sabatius 'Compacta',1/19/2026,550,"4"" 16 Tray",,
Cosmos atrosanguineus,1/19/2026,520,"4"" 16 Tray",,
Cuphea hyssopifolia 'Alba',1/19/2026,640,"4"" 16 Tray",,
Cuphea hyssopifolia 'Allyson Purple',1/19/2026,470,"4"" 16 Tray",,
Nepeta faassenii 'Whispurr™ Pink' (PPAF),1/19/2026,535,"4"" 16 Tray",,
Nepeta x faassenii 'Blue Wonder',1/19/2026,400,"4"" 16 Tray",,
Satureja douglasii,1/19/2026,850,"4"" 16 Tray",,
Scabiosa columbaria 'Butterfly Blue',1/19/2026,380,"4"" 16 Tray",,
Achillea 'Little Moonshine' (PPAF),1/26/2026,530,"4"" 16 Tray",,
Ajuga 'Rainbow',1/26/2026,528,"4"" 16 Tray",,
Helianthemum 'Ben Hope',1/26/2026,440,"4"" 16 Tray",,
Viola cornuta 'Etain',1/26/2026,512,"4"" 16 Tray",,
Armeria maritima 'Dusseldorfer Stolz',2/16/2026,500,"4"" 16 Tray",,
Carex praegracilis,2/16/2026,1069,"4"" 16 Tray",,
Geranium x cantabrigiense 'Biokovo',2/16/2026,689,"4"" 16 Tray",,
Stachys byzantina 'Little Lamb',2/16/2026,535,"4"" 16 Tray",,
Asclepias fascicularis,2/23/2026,1000,"4"" 16 Tray",,
Eschscholzia californica var. maritima,2/23/2026,900,"4"" 16 Tray",,
Crassula coccinea 'Campfire',3/2/2026,200,"4"" 16 Tray",,
Geranium x cantabrigiense 'Karmina',3/2/2026,360,"4"" 16 Tray",,
Hesperozygis x satureja 'Sunrise Mojito' (PPAF),3/2/2026,500,"4"" 16 Tray",,
Kalanchoe pumila,3/2/2026,500,"4"" 16 Tray",,
Sedum album,3/2/2026,500,"4"" 16 Tray",,
Senecio serpens,3/2/2026,500,"4"" 16 Tray",,
Achillea 'Paprika',3/16/2026,500,"4"" 16 Tray",,
Erigeron x moerheimii,3/16/2026,432,"4"" 16 Tray",,
Gaura lindheimeri 'Belleza Compact Light Pink',3/16/2026,480,"4"" 16 Tray",,
Geranium x cantabrigiense 'Biokovo',3/16/2026,576,"4"" 16 Tray",,
Lavandula angustifolia 'Munstead',3/16/2026,432,"4"" 16 Tray",,
Lithodora diffusa 'Heavenly Blue',3/16/2026,516,"4"" 16 Tray",,
Monardella mac. 'Marian Sampson',3/16/2026,288,"4"" 16 Tray",,
Monardella villosa 'Russian River',3/16/2026,288,"4"" 16 Tray",,
Origanum 'Barbara Tingey',3/16/2026,288,"4"" 16 Tray",,
Origanum 'Kent Beauty',3/16/2026,430,"4"" 16 Tray",,
Satureja douglasii,3/16/2026,288,"4"" 16 Tray",,
Scleranthus biflorus,3/16/2026,800,"4"" 16 Tray",,
Silene uniflora 'Druett's Variegated',3/16/2026,640,"4"" 16 Tray",,
Sisyrinchium bellum 'Dwarf',3/16/2026,670,"4"" 16 Tray",,
Teucrium chamaedrys,3/16/2026,608,"4"" 16 Tray",,
Thymus 'Highland Cream',3/16/2026,508,"4"" 16 Tray",,
Erodium reichardii 'Roseum',3/23/2026,570,"4"" 16 Tray",,
Erodium x variabile 'Bishop's Form',3/23/2026,506,"4"" 16 Tray",,
Hymenoxys acaulis,3/23/2026,500,"4"" 16 Tray",,
