
LINER INVENTORY / PRODUCTION,,,,,
PLANT NAME,PRODUCTION DATE,QUANTITY,SIZE,CUTTINGS / SEED,NOTES
Teucrium chamaedrys 'Tickle Pink',6/8/2026,500,,,
Silene uniflora 'Druett's Variegated',6/8/2026,1120,,,
Scutellaria 'Smokey Hills' (new),6/8/2026,450,,,
Salvia uliginosa,6/8/2026,100,,,
Ribes sang. glutinosum 'Claremont',6/8/2026,280,,,
Parahebe linifolia,6/8/2026,500,,,
Mimulus 'Ivory White',6/8/2026,350,,,
Lavandula stoechas 'Double Anouk',6/8/2026,150,,,
Juncus patens 'Elk Blue',6/8/2026,670,,,
Erigeron glaucus 'White Lights',6/8/2026,250,,,
Encelia californica 'Paleo Yellow',6/8/2026,300,,,
Dianella revoluta 'Baby Bliss',6/8/2026,170,,,
Cuphea 'Strybing Sunset',6/8/2026,200,,,
Berleria repens (new),6/8/2026,250,,,
Armeria pseud. 'Dreameria™ Dreamland' (PPAF),6/8/2026,870,,,
Armeria pseud. 'Dreameria™ Dream Clouds',6/8/2026,450,,,
Viola odorata 'Rubra',6/29/2026,350,,,
Sphaeralcea 'Newleaze Coral',6/29/2026,650,,,
Salvia greggii 'Smokin' Lavender',6/29/2026,700,,,
Salvia clevelandii 'Alpine',6/29/2026,300,,,
Polygala virgata 'Portola',6/29/2026,560,,,
Penstemon 'Osprey',6/29/2026,200,,,
Parahebe perfoliata,6/29/2026,150,,,
Malva moschata (new),6/29/2026,550,,,
Lavandula stoechas,6/29/2026,500,,,
Helianthemum 'The Bride',6/29/2026,280,,,
Cistus x pagei,6/29/2026,200,,,
Campanula po. 'Pink',6/29/2026,650,,,
Armeria maritima 'Dusseldorfer Stolz',6/29/2026,430,,,
Tanacetum parthenium 'Aureum',6/22/2026,900,,,
Salvia lemmonii,6/22/2026,380,,,
Salvia coahuilensis,6/22/2026,300,,,
Salvia apiana,6/22/2026,600,,,
Salvia 'Skylark' (new),6/22/2026,280,,,
Peritoma arborea (new),6/22/2026,300,,,
Muhlenbergia pubescens,6/22/2026,330,,,
Lupinus albifrons,6/22/2026,450,,,
Lotus crassifolius var. otayensis,6/22/2026,350,,,
Lavandula 'Silver Frost',6/22/2026,200,,,
Kniphofia galpinii,6/22/2026,330,,,
Halimium atriplicifolium,6/22/2026,250,,,
Galvezia speciosa 'Boca Rosa',6/22/2026,200,,,
Euphorbia myrsinites,6/22/2026,728,,,
Cupressus macrocarpa 'Fine Gold',6/22/2026,350,,,
Cuphea 'Blackberry Sparkler' (Patented),6/22/2026,560,,,
Ceanothus 'Natalie Hopkins',6/22/2026,150,,,
Banksia spinulosa,6/22/2026,450,,,
Armeria pseud. 'Dreameria™ Daydream' (Patented),6/22/2026,1000,,,
Abelia x grand. 'Kaleidoscope' (Patented),6/22/2026,650,,,
Westringia 'Naringa',6/15/2026,200,,,
Viola 'Etain',6/15/2026,400,,,
Sidalcea malviflora 'Palustre',6/15/2026,380,,,
Sedum sediforme Spanish Selection,6/15/2026,200,,,
Salvia 'Angel Wings',6/15/2026,380,,,
Sagina s. 'Lime Moss',6/15/2026,650,,,
Rosmarinus officinalis 'Barbeque',6/15/2026,500,,,
Ribes sang. var. glutinosum 'Tranquillon Ridge',6/15/2026,600,,,
Polygala myrtifolia 'Mariposa',6/15/2026,850,,,
Penstemon 'Sour Grapes',6/15/2026,150,,,
Penstemon 'Red Trumpet',6/15/2026,180,,,
Pennisetum spathiolatum,6/15/2026,600,,,
Oscularia deltoides,6/15/2026,224,,,
Myrica californica,6/15/2026,400,,,
Mimulus 'Burst Berry' (Patented),6/15/2026,150,,,
Leymus condensatus ‘Canyon Prince’,6/15/2026,650,,,
Lessingia filaginifolia 'Moss Landing',6/15/2026,500,,,
Lavatera assurgentiflora (new),6/15/2026,120,,,
Lavandula 'Avonview',6/15/2026,250,,,
Hibiscus trionium,6/15/2026,470,,,
Heuchera 'Canyon Chimes' (Patented),6/15/2026,250,,,
Heliotropium 'Ecuador' (new),6/15/2026,150,,,
Halimium 'Sarah',6/15/2026,600,,,
Euphorbia 'Miner's Merlot' (Patented),6/15/2026,700,,,
Erodium x ‘Stephanie’,6/15/2026,220,,,
Dorycnium hirsutum,6/15/2026,330,,,
Coprosma repens 'County Park Red',6/15/2026,200,,,
Coprosma 'Eclipse',6/15/2026,450,,,
Carex tumulicola,6/15/2026,250,,,
Sisyrinchium bellum 'Rocky Pt.',6/1/2026,600,,,
Sesleria caerulea,6/1/2026,672,,,
